Torneo de Afghanistan, carrera 100 m, Jonielle SMITH, 9799
Torneo de Scotland, carrera 42000 m, Kenenisa BEKELE, 7320711
Torneo de Senegal, carrera 42000 m, Asefa MENGSTU, 7326846
Torneo de Senegal, carrera 42000 m, Birhanu LEGESE, 7389912
Torneo de Senegal, carrera 42000 m, Zeineba YIMER, 7411680
Torneo de Serbia, carrera 42000 m, Guye Idemo ADOLA, 7347899
Torneo de Serbia, carrera 42000 m, Shura KITATA, 7355253
Torneo de Serbia, carrera 42000 m, Workenesh EDESA, 7382655
Torneo de Seychelles, carrera 42000 m, Gladys CHERONO, 7326478
Torneo de Seychelles, carrera 42000 m, Kenenisa BEKELE, 7352582
Torneo de Seychelles, carrera 42000 m, Emmanuel SAINA, 7398560
Torneo de Sierra Leone, carrera 42000 m, Zeineba YIMER, 7302065
Torneo de Sierra Leone, carrera 42000 m, Mule WASIHUN, 7303410
Torneo de Sierra Leone, carrera 42000 m, Asefa MENGSTU, 7349202
Torneo de Singapore, carrera 42000 m, Purity Cherotich RIONORIPO, 7335593
Torneo de Singapore, carrera 42000 m, Herpasa NEGASA, 7346959
Torneo de Singapore, carrera 42000 m, Workenesh EDESA, 7356045
Torneo de Slovakia, carrera 42000 m, Shura KITATA, 7307905
Torneo de Slovakia, carrera 42000 m, Brigid KOSGEI, 7313993
Torneo de Slovakia, carrera 42000 m, Azmera GEBRU, 7320246
Torneo de Slovenia, carrera 42000 m, Sisay LEMMA, 7322630
Torneo de Slovenia, carrera 42000 m, Mosinet GEREMEW, 7323825
Torneo de Slovenia, carrera 42000 m, Mule WASIHUN, 7340798
Torneo de Solomon Islands, carrera 42000 m, Mule WASIHUN, 7320709
Torneo de Solomon Islands, carrera 42000 m, Herpasa NEGASA, 7322228
Torneo de Solomon Islands, carrera 42000 m, Shura KITATA, 7325250
Torneo de Somalia, carrera 42000 m, Getaneh MOLLA, 7312154
Torneo de Somalia, carrera 42000 m, Reuben Kiprop KIPYEGO, 7318596
Torneo de Somalia, carrera 42000 m, Kinde ATANAW, 7330535
Torneo de South Africa, carrera 42000 m, Valary JEMELI, 7319406
Torneo de South Africa, carrera 42000 m, Azmera GEBRU, 7351936
Torneo de South Africa, carrera 42000 m, Herpasa NEGASA, 7354420
Torneo de South Korea, carrera 42000 m, Eliud KIPCHOGE, 7337448
Torneo de South Korea, carrera 42000 m, Ababel YESHANEH, 7344679
Torneo de South Korea, carrera 42000 m, Ruti AGA, 7351294
Torneo de South Sudan, carrera 42000 m, Purity Cherotich RIONORIPO, 7312070
Torneo de South Sudan, carrera 42000 m, Emmanuel SAINA, 7350194
Torneo de South Sudan, carrera 42000 m, Azmera GEBRU, 7392662
Torneo de Spain, carrera 42000 m, Lonah Chemtai SALPETER, 7320547
Torneo de Spain, carrera 42000 m, Abebe Negewo DEGEFA, 7341676
Torneo de Spain, carrera 42000 m, Birhanu LEGESE, 7368573
Torneo de Sri Lanka, carrera 42000 m, Mare DIBABA, 7305365
Torneo de Sri Lanka, carrera 42000 m, Brigid KOSGEI, 7369738
Torneo de Sri Lanka, carrera 42000 m, Shura KITATA, 7403873
Torneo de Sudan, carrera 42000 m, Worknesh DEGEFA, 7369978
Torneo de Sudan, carrera 42000 m, Brigid KOSGEI, 7375799
Torneo de Sudan, carrera 42000 m, Philemon RONO, 7419631
Torneo de Suriname, carrera 42000 m, Birhane DIBABA, 7318493
Torneo de Suriname, carrera 42000 m, Herpasa NEGASA, 7323494
Torneo de Suriname, carrera 42000 m, Zeineba YIMER, 7353518
Torneo de Sweden, carrera 42000 m, Titus EKIRU, 7303986
Torneo de Sweden, carrera 42000 m, Workenesh EDESA, 7306219
Torneo de Sweden, carrera 42000 m, Herpasa NEGASA, 7307932
Torneo de Switzerland, carrera 42000 m, Zeineba YIMER, 7322777
Torneo de Switzerland, carrera 42000 m, Marius KIPSEREM, 7325425
Torneo de Switzerland, carrera 42000 m, Birhane DIBABA, 7329802
Torneo de Syria, carrera 42000 m, Getaneh MOLLA, 7313023
Torneo de Syria, carrera 42000 m, Kenenisa BEKELE, 7357117
Torneo de Syria, carrera 42000 m, Lonah Chemtai SALPETER, 7367520
Torneo de Taiwan, carrera 42000 m, Kaan Kigen ÖZBILEN, 7324069
Torneo de Taiwan, carrera 42000 m, Birhanu LEGESE, 7329697
Torneo de Taiwan, carrera 42000 m, Lonah Chemtai SALPETER, 7330019
Torneo de Tajikistan, carrera 42000 m, Gladys CHERONO, 7312317
Torneo de Tajikistan, carrera 42000 m, Valary JEMELI, 7312492
Torneo de Tajikistan, carrera 42000 m, Ababel YESHANEH, 7367418
Torneo de Tanzania, carrera 42000 m, Reuben Kiprop KIPYEGO, 7302147
Torneo de Tanzania, carrera 42000 m, Birhanu LEGESE, 7309215
Torneo de Tanzania, carrera 42000 m, Zeineba YIMER, 7327444
Torneo de Thailand, carrera 42000 m, Birhanu LEGESE, 7316353
Torneo de Thailand, carrera 42000 m, Marius KIPSEREM, 7373816
Torneo de Thailand, carrera 42000 m, Valary JEMELI, 7391107
Torneo de Timor-Leste, carrera 42000 m, Asefa MENGSTU, 7334021
Torneo de Timor-Leste, carrera 42000 m, Workenesh EDESA, 7347170
Torneo de Timor-Leste, carrera 42000 m, Mosinet GEREMEW, 7350114
Torneo de Togo, carrera 42000 m, Mule WASIHUN, 7308924
Torneo de Togo, carrera 42000 m, Lonah Chemtai SALPETER, 7335991
Torneo de Togo, carrera 42000 m, Eliud KIPCHOGE, 7354166
Torneo de Tonga, carrera 42000 m, Philemon RONO, 7304007
Torneo de Tonga, carrera 42000 m, Herpasa NEGASA, 7344938
Torneo de Tonga, carrera 42000 m, Gladys CHERONO, 7442399
Torneo de Trinidad and Tobago, carrera 42000 m, Kenenisa BEKELE, 7325304
Torneo de Trinidad and Tobago, carrera 42000 m, Kaan Kigen ÖZBILEN, 7344057
Torneo de Trinidad and Tobago, carrera 42000 m, Reuben Kiprop KIPYEGO, 7355990
Torneo de Tunisia, carrera 42000 m, Eliud KIPCHOGE, 7308284
Torneo de Tunisia, carrera 42000 m, Kinde ATANAW, 7320455
Torneo de Tunisia, carrera 42000 m, Mare DIBABA, 7321078
Torneo de Turkey, carrera 42000 m, Ruti AGA, 7301667
Torneo de Turkey, carrera 42000 m, Emmanuel SAINA, 7310625
Torneo de Turkey, carrera 42000 m, Sisay LEMMA, 7354807
Torneo de Turkmenistan, carrera 42000 m, Guye Idemo ADOLA, 7320704
Torneo de Turkmenistan, carrera 42000 m, Kaan Kigen ÖZBILEN, 7324532
Torneo de Turkmenistan, carrera 42000 m, Roza DEREJE, 7327664
Torneo de Tuvalu, carrera 42000 m, Lonah Chemtai SALPETER, 7340387
Torneo de Tuvalu, carrera 42000 m, Degitu AZIMERAW, 7346063
Torneo de Tuvalu, carrera 42000 m, Kinde ATANAW, 7363191
Torneo de Uganda, carrera 42000 m, Vivian J. CHERUIYOT, 7393338
Torneo de Uganda, carrera 42000 m, Degitu AZIMERAW, 7394845
Torneo de Uganda, carrera 42000 m, Shura KITATA, 7398728
Torneo de Ukraine, carrera 42000 m, Kaan Kigen ÖZBILEN, 7326638
Torneo de Ukraine, carrera 42000 m, Mosinet GEREMEW, 7449568
Torneo de Ukraine, carrera 42000 m, Getaneh MOLLA, 7455090
Torneo de United Arab Emirates, carrera 42000 m, Asefa MENGSTU, 7311662
Torneo de United Arab Emirates, carrera 42000 m, Kinde ATANAW, 7328943
Torneo de United Arab Emirates, carrera 42000 m, Ruti AGA, 7347154
Torneo de United Kingdom, carrera 42000 m, Azmera ABREHA, 7328254
Torneo de United Kingdom, carrera 42000 m, Birhanu LEGESE, 7340506
Torneo de United Kingdom, carrera 42000 m, Emmanuel SAINA, 7348014
Torneo de United States, carrera 42000 m, Philemon RONO, 7334792
Torneo de United States, carrera 42000 m, Evans CHEBET, 7388382
Torneo de United States, carrera 42000 m, Mule WASIHUN, 7426023
Torneo de Uruguay, carrera 42000 m, Ababel YESHANEH, 7366360
Torneo de Uruguay, carrera 42000 m, Lonah Chemtai SALPETER, 7367804
Torneo de Uruguay, carrera 42000 m, Kenenisa BEKELE, 7377036
Torneo de Uzbekistan, carrera 42000 m, Marius KIPSEREM, 7307460
Torneo de Uzbekistan, carrera 42000 m, Worknesh DEGEFA, 7321110
Torneo de Uzbekistan, carrera 42000 m, Workenesh EDESA, 7343467
Torneo de Vanuatu, carrera 42000 m, Valary JEMELI, 7310245
Torneo de Vanuatu, carrera 42000 m, Guye Idemo ADOLA, 7343947
Torneo de Vanuatu, carrera 42000 m, Abebe Negewo DEGEFA, 7348048
Torneo de Vatican City, carrera 42000 m, Ruti AGA, 7309107
Torneo de Vatican City, carrera 42000 m, Getaneh MOLLA, 7332042
Torneo de Vatican City, carrera 42000 m, Mosinet GEREMEW, 7341327
Torneo de Venezuela, carrera 42000 m, Kinde ATANAW, 7312681
Torneo de Venezuela, carrera 42000 m, Azmera ABREHA, 7354517
Torneo de Venezuela, carrera 42000 m, Azmera GEBRU, 7387265
Torneo de Vietnam, carrera 42000 m, Valary JEMELI, 7352629
Torneo de Vietnam, carrera 42000 m, Degitu AZIMERAW, 7359052
Torneo de Vietnam, carrera 42000 m, Abebe Negewo DEGEFA, 7386356
Torneo de Virgin Islands (British), carrera 42000 m, Purity Cherotich RIONORIPO, 7352210
Torneo de Virgin Islands (British), carrera 42000 m, Zeineba YIMER, 7354548
Torneo de Virgin Islands (British), carrera 42000 m, Workenesh EDESA, 7372875
Torneo de Wales, carrera 42000 m, Shura KITATA, 7335269
Torneo de Wales, carrera 42000 m, Gladys CHERONO, 7359096
Torneo de Wales, carrera 42000 m, Asefa MENGSTU, 7363204
Torneo de Yemen, carrera 42000 m, Brigid KOSGEI, 7313102
Torneo de Yemen, carrera 42000 m, Azmera ABREHA, 7349493
Torneo de Yemen, carrera 42000 m, Valary JEMELI, 7356118
Torneo de Zambia, carrera 42000 m, Zeineba YIMER, 7301570
Torneo de Zambia, carrera 42000 m, Titus EKIRU, 7308750
Torneo de Zambia, carrera 42000 m, Azmera ABREHA, 7313666
Torneo de Zimbabwe, carrera 42000 m, Lonah Chemtai SALPETER, 7310801
Torneo de Zimbabwe, carrera 42000 m, Birhanu LEGESE, 7320640
Torneo de Zimbabwe, carrera 42000 m, Titus EKIRU, 7352253
Torneo de Afghanistan, carrera 5000 m, Eilish MCCOLGAN, 773867
Torneo de Afghanistan, carrera 5000 m, Tsehay GEMECHU, 774258
Torneo de Afghanistan, carrera 5000 m, Yomif KEJELCHA, 774413
Torneo de Albania, carrera 5000 m, Sifan HASSAN, 776339
Torneo de Albania, carrera 5000 m, Jakob INGEBRIGTSEN, 778039
Torneo de Albania, carrera 5000 m, Hawi FEYSA, 778925
Torneo de Algeria, carrera 5000 m, Letesenbet GIDEY, 772303
Torneo de Algeria, carrera 5000 m, Gloriah KITE, 772318
Torneo de Algeria, carrera 5000 m, Tsehay GEMECHU, 774122
Torneo de Andorra, carrera 5000 m, Nicholas Kipkorir KIMELI, 772709
Torneo de Andorra, carrera 5000 m, Eilish MCCOLGAN, 772871
Torneo de Andorra, carrera 5000 m, Gloriah KITE, 777820
Torneo de Angola, carrera 5000 m, Birhanu BALEW, 772180
Torneo de Angola, carrera 5000 m, Beatrice CHEBET, 772188
Torneo de Angola, carrera 5000 m, William KINCAID, 773111
Torneo de Antigua and Barbuda, carrera 5000 m, Abadi HADIS, 774355
Torneo de Antigua and Barbuda, carrera 5000 m, Solomon BERIHU, 775200
Torneo de Antigua and Barbuda, carrera 5000 m, Selemon BAREGA, 776163
Torneo de Argentina, carrera 5000 m, Jakob INGEBRIGTSEN, 772184
Torneo de Argentina, carrera 5000 m, Telahun Haile BEKELE, 777147
Torneo de Argentina, carrera 5000 m, Caroline Chepkoech KIPKIRUI, 777974
Torneo de Armenia, carrera 5000 m, Joshua CHEPTEGEI, 772823
Torneo de Armenia, carrera 5000 m, Jakob INGEBRIGTSEN, 773980
Torneo de Armenia, carrera 5000 m, Agnes Jebet TIROP, 782410
Torneo de Australia, carrera 5000 m, Sifan HASSAN, 772098
Torneo de Australia, carrera 5000 m, Edward Zakayo PINGUA, 773465
Torneo de Australia, carrera 5000 m, Agnes Jebet TIROP, 777764
Torneo de Austria, carrera 5000 m, Paul CHELIMO, 773335
Torneo de Austria, carrera 5000 m, Hellen OBIRI, 773923
Torneo de Austria, carrera 5000 m, Eva CHERONO, 775496
Torneo de Azerbaijan, carrera 5000 m, Caroline Chepkoech KIPKIRUI, 773681
Torneo de Azerbaijan, carrera 5000 m, Jakob INGEBRIGTSEN, 775362
Torneo de Azerbaijan, carrera 5000 m, Fantu WORKU, 777532
Torneo de Bahamas, carrera 5000 m, Konstanze KLOSTERHALFEN, 773254
Torneo de Bahamas, carrera 5000 m, Eva CHERONO, 773556
Torneo de Bahamas, carrera 5000 m, Hawi FEYSA, 774252
Torneo de Bahrain, carrera 5000 m, Hagos GEBRHIWET, 773533
Torneo de Bahrain, carrera 5000 m, Letesenbet GIDEY, 775613
Torneo de Bahrain, carrera 5000 m, Fantu WORKU, 777276
Torneo de Bangladesh, carrera 5000 m, Selemon BAREGA, 772111
Torneo de Bangladesh, carrera 5000 m, Konstanze KLOSTERHALFEN, 775359
Torneo de Bangladesh, carrera 5000 m, Edward Zakayo PINGUA, 775930
Torneo de Barbados, carrera 5000 m, Hellen OBIRI, 772461
Torneo de Barbados, carrera 5000 m, Eva CHERONO, 772723
Torneo de Barbados, carrera 5000 m, Fantu WORKU, 772981
Torneo de Belarus, carrera 5000 m, Abadi HADIS, 773271
Torneo de Belarus, carrera 5000 m, Yomif KEJELCHA, 781751
Torneo de Belarus, carrera 5000 m, Tsehay GEMECHU, 782785
Torneo de Belgium, carrera 5000 m, Paul CHELIMO, 773779
Torneo de Belgium, carrera 5000 m, Hellen OBIRI, 774191
Torneo de Belgium, carrera 5000 m, Telahun Haile BEKELE, 774800
Torneo de Belize, carrera 5000 m, Edward Zakayo PINGUA, 774299
Torneo de Belize, carrera 5000 m, Gloriah KITE, 774448
Torneo de Belize, carrera 5000 m, Letesenbet GIDEY, 777494
Torneo de Benin, carrera 5000 m, Mohammed AHMED, 774542
Torneo de Benin, carrera 5000 m, Hellen OBIRI, 775321
Torneo de Benin, carrera 5000 m, Karoline Bjerkeli GRØVDAL, 777076
Torneo de Bhutan, carrera 5000 m, Jacob KROP, 774631
Torneo de Bhutan, carrera 5000 m, Birhanu BALEW, 777799
Torneo de Bhutan, carrera 5000 m, Agnes Jebet TIROP, 778377
Torneo de Bolivia, carrera 5000 m, William KINCAID, 774218
Torneo de Bolivia, carrera 5000 m, Joshua CHEPTEGEI, 774264
Torneo de Bolivia, carrera 5000 m, Tsehay GEMECHU, 774946
Torneo de Bosnia and Herzegovina, carrera 5000 m, Mohammed AHMED, 773733
Torneo de Bosnia and Herzegovina, carrera 5000 m, Hagos GEBRHIWET, 775620
Torneo de Bosnia and Herzegovina, carrera 5000 m, Abadi HADIS, 778004
Torneo de Botswana, carrera 5000 m, Stanley Waithaka MBURU, 773545
Torneo de Botswana, carrera 5000 m, Karoline Bjerkeli GRØVDAL, 775945
Torneo de Botswana, carrera 5000 m, Hawi FEYSA, 775962
Torneo de Brazil, carrera 5000 m, Eva CHERONO, 775889
Torneo de Brazil, carrera 5000 m, Tsehay GEMECHU, 778285
Torneo de Brazil, carrera 5000 m, Letesenbet GIDEY, 779987
Torneo de Brunei, carrera 5000 m, Konstanze KLOSTERHALFEN, 773077
Torneo de Brunei, carrera 5000 m, Matthew CENTROWITZ, 775131
Torneo de Brunei, carrera 5000 m, Yomif KEJELCHA, 775383
Torneo de Bulgaria, carrera 5000 m, Joshua CHEPTEGEI, 772673
Torneo de Bulgaria, carrera 5000 m, Jakob INGEBRIGTSEN, 775842
Torneo de Bulgaria, carrera 5000 m, Beatrice CHEPKOECH, 776554
Torneo de Burkina Faso, carrera 5000 m, Fantu WORKU, 772650
Torneo de Burkina Faso, carrera 5000 m, Letesenbet GIDEY, 773659
Torneo de Burkina Faso, carrera 5000 m, Margaret Chelimo KIPKEMBOI, 774515
Torneo de Burundi, carrera 5000 m, Abadi HADIS, 775968
Torneo de Burundi, carrera 5000 m, Hagos GEBRHIWET, 776927
Torneo de Burundi, carrera 5000 m, Stanley Waithaka MBURU, 779553
Torneo de Cabo Verde, carrera 5000 m, Solomon BERIHU, 772481
Torneo de Cabo Verde, carrera 5000 m, Konstanze KLOSTERHALFEN, 774141
Torneo de Cabo Verde, carrera 5000 m, Gloriah KITE, 777709
Torneo de Cambodia, carrera 5000 m, Margaret Chelimo KIPKEMBOI, 780279
Torneo de Cambodia, carrera 5000 m, Mohammed AHMED, 783178
Torneo de Cambodia, carrera 5000 m, Eilish MCCOLGAN, 784926
Torneo de Cameroon, carrera 5000 m, Konstanze KLOSTERHALFEN, 772460
Torneo de Cameroon, carrera 5000 m, Mohammed AHMED, 774162
Torneo de Cameroon, carrera 5000 m, Eva CHERONO, 775227
Torneo de Canada, carrera 5000 m, Birhanu BALEW, 775702
Torneo de Canada, carrera 5000 m, Joshua CHEPTEGEI, 777391
Torneo de Canada, carrera 5000 m, Solomon BERIHU, 778988
Torneo de Central African Republic, carrera 5000 m, Hawi FEYSA, 772241
Torneo de Central African Republic, carrera 5000 m, Eva CHERONO, 775232
Torneo de Central African Republic, carrera 5000 m, Beatrice CHEPKOECH, 775871
Torneo de Chad, carrera 5000 m, Solomon BERIHU, 773526
Torneo de Chad, carrera 5000 m, Gloriah KITE, 777958
Torneo de Chad, carrera 5000 m, Fantu WORKU, 778223
Torneo de Chile, carrera 5000 m, Lopez LOMONG, 773159
Torneo de Chile, carrera 5000 m, Solomon BERIHU, 773751
Torneo de Chile, carrera 5000 m, Muktar EDRIS, 773836
Torneo de China, carrera 5000 m, Gabriela DEBUES-STAFFORD, 773806
Torneo de China, carrera 5000 m, Karissa SCHWEIZER, 774813
Torneo de China, carrera 5000 m, Agnes Jebet TIROP, 778486
Torneo de Colombia, carrera 5000 m, Mohammed AHMED, 774205
Torneo de Colombia, carrera 5000 m, Beatrice CHEBET, 775650
Torneo de Colombia, carrera 5000 m, Gabriela DEBUES-STAFFORD, 776248
Torneo de Comoros, carrera 5000 m, Jakob INGEBRIGTSEN, 772822
Torneo de Comoros, carrera 5000 m, Gloriah KITE, 776039
Torneo de Comoros, carrera 5000 m, Paul CHELIMO, 778061
Torneo de Congo Democratic Republic of the, carrera 5000 m, Telahun Haile BEKELE, 772315
Torneo de Congo Democratic Republic of the, carrera 5000 m, Laura WEIGHTMAN, 774286
Torneo de Congo Democratic Republic of the, carrera 5000 m, Joshua CHEPTEGEI, 775141
Torneo de Congo Republic of the, carrera 5000 m, Birhanu BALEW, 774235
Torneo de Congo Republic of the, carrera 5000 m, Abadi HADIS, 775259
Torneo de Congo Republic of the, carrera 5000 m, Hawi FEYSA, 775724
Torneo de Costa Rica, carrera 5000 m, Abadi HADIS, 776866
Torneo de Costa Rica, carrera 5000 m, Lopez LOMONG, 782244
Torneo de Costa Rica, carrera 5000 m, Solomon BERIHU, 782655
Torneo de Croatia, carrera 5000 m, Abadi HADIS, 774214
Torneo de Croatia, carrera 5000 m, Karissa SCHWEIZER, 774413
Torneo de Croatia, carrera 5000 m, Muktar EDRIS, 778224
Torneo de Cuba, carrera 5000 m, William KINCAID, 774027
Torneo de Cuba, carrera 5000 m, Fantu WORKU, 774111
Torneo de Cuba, carrera 5000 m, Stanley Waithaka MBURU, 774524
Torneo de Cyprus, carrera 5000 m, Eva CHERONO, 772275
Torneo de Cyprus, carrera 5000 m, Paul CHELIMO, 774535
Torneo de Cyprus, carrera 5000 m, Tsehay GEMECHU, 775047
Torneo de Czechia, carrera 5000 m, Paul CHELIMO, 773011
Torneo de Czechia, carrera 5000 m, Hawi FEYSA, 777008
Torneo de Czechia, carrera 5000 m, Eilish MCCOLGAN, 778753
Torneo de Denmark, carrera 5000 m, Gabriela DEBUES-STAFFORD, 773042
Torneo de Denmark, carrera 5000 m, Karoline Bjerkeli GRØVDAL, 773314
Torneo de Denmark, carrera 5000 m, Solomon BERIHU, 774569
Torneo de Djibouti, carrera 5000 m, Karoline Bjerkeli GRØVDAL, 772375
Torneo de Djibouti, carrera 5000 m, Stanley Waithaka MBURU, 776879
Torneo de Djibouti, carrera 5000 m, Caroline Chepkoech KIPKIRUI, 779845
Torneo de Dominica, carrera 5000 m, Hawi FEYSA, 778539
Torneo de Dominica, carrera 5000 m, William KINCAID, 779127
Torneo de Dominica, carrera 5000 m, Jakob INGEBRIGTSEN, 780792
Torneo de Dominican Republic, carrera 5000 m, Solomon BERIHU, 776082
Torneo de Dominican Republic, carrera 5000 m, Caroline Chepkoech KIPKIRUI, 778551
Torneo de Dominican Republic, carrera 5000 m, Nicholas Kipkorir KIMELI, 781167
Torneo de Ecuador, carrera 5000 m, Birhanu BALEW, 772110
Torneo de Ecuador, carrera 5000 m, Laura WEIGHTMAN, 776109
Torneo de Ecuador, carrera 5000 m, Abadi HADIS, 777430
Torneo de Egypt, carrera 5000 m, Telahun Haile BEKELE, 773209
Torneo de Egypt, carrera 5000 m, Muktar EDRIS, 774619
Torneo de Egypt, carrera 5000 m, Joshua CHEPTEGEI, 779995
Torneo de El Salvador, carrera 5000 m, Selemon BAREGA, 773819
Torneo de El Salvador, carrera 5000 m, Eva CHERONO, 774609
Torneo de El Salvador, carrera 5000 m, Fantu WORKU, 775263
Torneo de Equatorial Guinea, carrera 5000 m, Karoline Bjerkeli GRØVDAL, 772740
Torneo de Equatorial Guinea, carrera 5000 m, Laura WEIGHTMAN, 773595
Torneo de Equatorial Guinea, carrera 5000 m, Gabriela DEBUES-STAFFORD, 777579
Torneo de Eritrea, carrera 5000 m, Beatrice CHEBET, 774225
Torneo de Eritrea, carrera 5000 m, Jakob INGEBRIGTSEN, 776335
Torneo de Eritrea, carrera 5000 m, Hagos GEBRHIWET, 777461
Torneo de Estonia, carrera 5000 m, Abadi HADIS, 772645
Torneo de Estonia, carrera 5000 m, Sifan HASSAN, 774663
Torneo de Estonia, carrera 5000 m, Mohammed AHMED, 775649
Torneo de Ethiopia, carrera 5000 m, Hellen OBIRI, 773011
Torneo de Ethiopia, carrera 5000 m, Mohammed AHMED, 773201
Torneo de Ethiopia, carrera 5000 m, Eilish MCCOLGAN, 776119
Torneo de Fiji, carrera 5000 m, Hellen OBIRI, 773781
Torneo de Fiji, carrera 5000 m, Gabriela DEBUES-STAFFORD, 778827
Torneo de Fiji, carrera 5000 m, Abadi HADIS, 779071
Torneo de Finland, carrera 5000 m, Edward CHESEREK, 773221
Torneo de Finland, carrera 5000 m, Fantu WORKU, 774477
Torneo de Finland, carrera 5000 m, Margaret Chelimo KIPKEMBOI, 775793
Torneo de France, carrera 5000 m, Paul CHELIMO, 772856
Torneo de France, carrera 5000 m, Yomif KEJELCHA, 776998
Torneo de France, carrera 5000 m, Hawi FEYSA, 778197
Torneo de French Guiana, carrera 5000 m, Telahun Haile BEKELE, 775804
Torneo de French Guiana, carrera 5000 m, Gloriah KITE, 781774
Torneo de French Guiana, carrera 5000 m, William KINCAID, 788240
Torneo de Gabon, carrera 5000 m, Edward Zakayo PINGUA, 774864
Torneo de Gabon, carrera 5000 m, Stanley Waithaka MBURU, 775684
Torneo de Gabon, carrera 5000 m, Yomif KEJELCHA, 776713
Torneo de Gambia, carrera 5000 m, Lopez LOMONG, 774858
Torneo de Gambia, carrera 5000 m, Lilian Kasait RENGERUK, 781880
Torneo de Gambia, carrera 5000 m, Telahun Haile BEKELE, 784841
Torneo de Georgia, carrera 5000 m, Abadi HADIS, 773619
Torneo de Georgia, carrera 5000 m, Paul CHELIMO, 776822
Torneo de Georgia, carrera 5000 m, Gabriela DEBUES-STAFFORD, 777969
Torneo de Germany, carrera 5000 m, Hawi FEYSA, 772169
Torneo de Germany, carrera 5000 m, Letesenbet GIDEY, 775336
Torneo de Germany, carrera 5000 m, Margaret Chelimo KIPKEMBOI, 781160
Torneo de Ghana, carrera 5000 m, Beatrice CHEPKOECH, 772231
Torneo de Ghana, carrera 5000 m, Jakob INGEBRIGTSEN, 772801
Torneo de Ghana, carrera 5000 m, Margaret Chelimo KIPKEMBOI, 773793
Torneo de Greece, carrera 5000 m, Gloriah KITE, 772879
Torneo de Greece, carrera 5000 m, Telahun Haile BEKELE, 775461
Torneo de Greece, carrera 5000 m, Sifan HASSAN, 777618
Torneo de Grenada, carrera 5000 m, Laura WEIGHTMAN, 772743
Torneo de Grenada, carrera 5000 m, Karoline Bjerkeli GRØVDAL, 774980
Torneo de Grenada, carrera 5000 m, Gloriah KITE, 776935
Torneo de Guatemala, carrera 5000 m, Fantu WORKU, 774801
Torneo de Guatemala, carrera 5000 m, Hawi FEYSA, 774979
Torneo de Guatemala, carrera 5000 m, Telahun Haile BEKELE, 776718
Torneo de Guinea, carrera 5000 m, William KINCAID, 774073
Torneo de Guinea, carrera 5000 m, Birhanu BALEW, 775722
Torneo de Guinea, carrera 5000 m, Stanley Waithaka MBURU, 776810
Torneo de Guinea-Bissau, carrera 5000 m, Fantu WORKU, 773849
Torneo de Guinea-Bissau, carrera 5000 m, Letesenbet GIDEY, 774008
Torneo de Guinea-Bissau, carrera 5000 m, Selemon BAREGA, 777950
Torneo de Guyana, carrera 5000 m, William KINCAID, 772143
Torneo de Guyana, carrera 5000 m, Jacob KROP, 772722
Torneo de Guyana, carrera 5000 m, Gloriah KITE, 773757
Torneo de Haiti, carrera 5000 m, Jacob KROP, 774977
Torneo de Haiti, carrera 5000 m, Nicholas Kipkorir KIMELI, 777882
Torneo de Haiti, carrera 5000 m, Lilian Kasait RENGERUK, 778698
Torneo de Honduras, carrera 5000 m, Hagos GEBRHIWET, 772664
Torneo de Honduras, carrera 5000 m, Agnes Jebet TIROP, 773197
Torneo de Honduras, carrera 5000 m, Hawi FEYSA, 773432
Torneo de Hungary, carrera 5000 m, Nicholas Kipkorir KIMELI, 775981
Torneo de Hungary, carrera 5000 m, Solomon BERIHU, 779985
Torneo de Hungary, carrera 5000 m, Mohammed AHMED, 782410
Torneo de Iceland, carrera 5000 m, Stanley Waithaka MBURU, 772521
Torneo de Iceland, carrera 5000 m, Beatrice CHEBET, 773179
Torneo de Iceland, carrera 5000 m, Hellen OBIRI, 773856
Torneo de India, carrera 5000 m, Matthew CENTROWITZ, 777364
Torneo de India, carrera 5000 m, Caroline Chepkoech KIPKIRUI, 778711
Torneo de India, carrera 5000 m, Telahun Haile BEKELE, 780362
Torneo de Indonesia, carrera 5000 m, Edward Zakayo PINGUA, 780037
Torneo de Indonesia, carrera 5000 m, Eva CHERONO, 783304
Torneo de Indonesia, carrera 5000 m, Muktar EDRIS, 783377
Torneo de Iran, carrera 5000 m, Laura WEIGHTMAN, 775701
Torneo de Iran, carrera 5000 m, Mohammed AHMED, 780005
Torneo de Iran, carrera 5000 m, Muktar EDRIS, 782669
Torneo de Iraq, carrera 5000 m, Letesenbet GIDEY, 772821
Torneo de Iraq, carrera 5000 m, Abadi HADIS, 773466
Torneo de Iraq, carrera 5000 m, Lopez LOMONG, 774483
Torneo de Ireland, carrera 5000 m, Margaret Chelimo KIPKEMBOI, 774330
Torneo de Ireland, carrera 5000 m, Beatrice CHEBET, 776835
Torneo de Ireland, carrera 5000 m, Eva CHERONO, 779640
Torneo de Israel, carrera 5000 m, William KINCAID, 772225
Torneo de Israel, carrera 5000 m, Konstanze KLOSTERHALFEN, 774583
Torneo de Israel, carrera 5000 m, Selemon BAREGA, 774654
Torneo de Italy, carrera 5000 m, Mohammed AHMED, 773524
Torneo de Italy, carrera 5000 m, Birhanu BALEW, 773571
Torneo de Italy, carrera 5000 m, William KINCAID, 777058
Torneo de Ivory Coast, carrera 5000 m, Nicholas Kipkorir KIMELI, 775546
